-1.0	0.0	0.0	0.0
0.0	^	^	5.77
25.17	^	^	-5.77
36.44	^	^	11.54
45.2	0.18	0.54	0.0
50.29	-0.18	-0.54	^
57.87	-0.3	0.12	3.84
57.89	-0.29	0.15	^
57.91	-0.28	0.17	^
57.93	-0.27	0.19	^
57.95	-0.25	0.21	^
57.97	-0.23	0.23	^
57.99	-0.21	0.25	^
58.01	-0.19	0.26	^
58.03	-0.17	0.28	^
58.05	-0.15	0.29	^
58.07	-0.13	0.3	^
58.09	-0.1	0.31	^
58.11	-0.08	0.32	^
58.13	-0.05	^	^
58.15	-0.03	0.33	^
58.17	0.0	^	^
58.19	0.01	^	^
58.21	0.04	^	^
58.23	0.06	0.32	^
58.25	0.09	0.31	^
58.27	0.11	^	^
58.29	0.14	0.3	^
58.31	0.16	0.28	^
58.33	0.18	0.27	^
58.35	0.2	0.25	^
58.37	0.22	0.24	^
58.39	0.24	0.22	^
58.41	0.26	0.2	^
58.43	0.27	0.18	^
58.45	0.29	0.16	^
58.47	0.3	0.14	^
58.49	0.31	0.11	^
58.51	^	0.09	^
58.53	0.32	0.06	^
58.55	0.33	0.04	^
58.57	^	0.01	^
58.59	^	0.0	^
58.61	^	-0.03	^
58.63	0.32	-0.05	^
58.65	^	-0.08	^
58.67	0.31	-0.1	^
58.69	0.3	-0.13	^
58.71	0.29	-0.15	^
58.73	0.28	-0.17	^
58.75	0.26	-0.2	^
58.77	0.24	-0.22	^
58.79	0.23	-0.23	^
58.81	0.21	-0.25	^
58.83	0.19	-0.27	^
58.85	0.17	-0.28	^
58.87	0.14	-0.29	^
58.89	0.12	-0.3	^
58.91	0.1	-0.31	^
58.93	0.07	-0.32	^
58.95	0.05	^	^
58.97	0.02	-0.33	^
58.99	0.0	^	^
59.01	-0.02	^	^
59.03	-0.04	-0.32	^
59.05	-0.07	^	^
59.07	-0.09	-0.31	^
59.09	-0.12	-0.3	^
59.11	-0.14	-0.29	^
59.13	-0.17	-0.28	^
59.15	-0.19	-0.27	^
59.17	-0.21	-0.25	^
59.19	-0.23	-0.23	^
59.21	-0.25	-0.21	^
59.24	-0.26	-0.19	^
59.26	-0.28	-0.17	^
59.27	-0.29	-0.15	^
59.29	-0.3	-0.13	^
59.31	-0.31	-0.11	^
59.33	-0.32	-0.08	^
59.35	^	-0.06	^
59.37	-0.33	-0.03	^
59.39	^	-0.01	^
59.42	^	0.01	^
59.44	^	0.04	^
